funcid,dim,milestone,error
29,50,1,6.849440e+03
29,50,2,6.818079e+03
29,50,3,6.295838e+03
29,50,5,6.272252e+03
29,50,10,6.238826e+03
29,50,20,6.174274e+03
29,50,30,6.093794e+03
29,50,40,5.526072e+03
29,50,50,5.245691e+03
29,50,60,5.134919e+03
29,50,70,5.005076e+03
29,50,80,4.947925e+03
29,50,90,4.877452e+03
29,50,100,4.819395e+03
29,50,1,4.126571e+03
29,50,2,4.077823e+03
29,50,3,4.060564e+03
29,50,5,4.051698e+03
29,50,10,4.014977e+03
29,50,20,3.978773e+03
29,50,30,3.974476e+03
29,50,40,3.969174e+03
29,50,50,3.959794e+03
29,50,60,3.947441e+03
29,50,70,3.931113e+03
29,50,80,3.926066e+03
29,50,90,3.922884e+03
29,50,100,3.903641e+03
29,50,1,5.652840e+03
29,50,2,5.494456e+03
29,50,3,5.478296e+03
29,50,5,5.463306e+03
29,50,10,5.437926e+03
29,50,20,5.434240e+03
29,50,30,4.196397e+03
29,50,40,4.194530e+03
29,50,50,4.168632e+03
29,50,60,4.163035e+03
29,50,70,4.162605e+03
29,50,80,4.162593e+03
29,50,90,4.162400e+03
29,50,100,4.161659e+03
29,50,1,5.456136e+03
29,50,2,4.999543e+03
29,50,3,4.946963e+03
29,50,5,4.933319e+03
29,50,10,4.923238e+03
29,50,20,4.903036e+03
29,50,30,4.862352e+03
29,50,40,4.789981e+03
29,50,50,4.789045e+03
29,50,60,4.773414e+03
29,50,70,4.721221e+03
29,50,80,4.657202e+03
29,50,90,4.648643e+03
29,50,100,4.578904e+03
29,50,1,4.791980e+03
29,50,2,4.773232e+03
29,50,3,4.768031e+03
29,50,5,4.734769e+03
29,50,10,4.694363e+03
29,50,20,4.660175e+03
29,50,30,4.654028e+03
29,50,40,4.607714e+03
29,50,50,4.581599e+03
29,50,60,4.558122e+03
29,50,70,4.554747e+03
29,50,80,4.550615e+03
29,50,90,4.480797e+03
29,50,100,4.449141e+03
29,50,1,9.138805e+03
29,50,2,8.549414e+03
29,50,3,8.440302e+03
29,50,5,7.557993e+03
29,50,10,7.452084e+03
29,50,20,7.258878e+03
29,50,30,5.404477e+03
29,50,40,5.120725e+03
29,50,50,5.058072e+03
29,50,60,4.915361e+03
29,50,70,4.906757e+03
29,50,80,4.898495e+03
29,50,90,4.872506e+03
29,50,100,4.866549e+03
29,50,1,1.027671e+04
29,50,2,9.399323e+03
29,50,3,9.354897e+03
29,50,5,8.912856e+03
29,50,10,7.481592e+03
29,50,20,7.289903e+03
29,50,30,5.949858e+03
29,50,40,4.964002e+03
29,50,50,4.947970e+03
29,50,60,4.935788e+03
29,50,70,4.933990e+03
29,50,80,4.897425e+03
29,50,90,4.811719e+03
29,50,100,4.764862e+03
29,50,1,6.107224e+03
29,50,2,4.825872e+03
29,50,3,4.811014e+03
29,50,5,4.792589e+03
29,50,10,4.758700e+03
29,50,20,4.694254e+03
29,50,30,4.659345e+03
29,50,40,4.615612e+03
29,50,50,4.553587e+03
29,50,60,4.506366e+03
29,50,70,4.424863e+03
29,50,80,4.408211e+03
29,50,90,4.393397e+03
29,50,100,4.274662e+03
29,50,1,7.969873e+03
29,50,2,7.762028e+03
29,50,3,7.373333e+03
29,50,5,6.962880e+03
29,50,10,6.773200e+03
29,50,20,6.176270e+03
29,50,30,5.718334e+03
29,50,40,5.605107e+03
29,50,50,5.498960e+03
29,50,60,5.431374e+03
29,50,70,5.403834e+03
29,50,80,5.333915e+03
29,50,90,5.306179e+03
29,50,100,5.248121e+03
29,50,1,6.819753e+03
29,50,2,5.822458e+03
29,50,3,5.821552e+03
29,50,5,5.723296e+03
29,50,10,5.719117e+03
29,50,20,5.716005e+03
29,50,30,4.890368e+03
29,50,40,4.401364e+03
29,50,50,4.381641e+03
29,50,60,4.351563e+03
29,50,70,4.276058e+03
29,50,80,4.258734e+03
29,50,90,4.224789e+03
29,50,100,4.183040e+03
